"","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272136690","TX272136698","TX272136699","TX279103530","TX279103554","TX279103561","TX279103567","TX279103583","TX279103586","TX281118809","TX281118812","TX281118835"
"ASV485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,55,0
"ASV489",16,0,0,7,0,17,0,0,0,0,0,0,0,43,0,0,0,0
"ASV493",0,0,0,0,0,30,0,0,0,0,0,0,0,0,11,0,0,42
"ASV494",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,69
"ASV496",0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
"ASV498",0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,15
"ASV500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,77
"ASV503",0,0,0,0,7,0,75,0,0,0,0,0,0,0,0,0,0,0
"ASV504",0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,44
"ASV506",0,0,0,0,0,0,0,0,72,0,0,0,0,0,10,0,0,0
"ASV507",0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
"ASV508",0,0,0,0,0,0,0,0,46,0,36,0,0,0,0,0,0,0
"ASV517",0,0,0,0,0,0,42,17,0,0,0,0,0,0,21,0,0,0
"ASV518",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"ASV520",0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,27
"ASV522",0,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,0,0
"ASV524",0,0,0,0,0,0,55,0,0,0,0,0,0,0,24,0,0,0
"ASV530",19,0,0,31,0,0,0,0,0,0,0,0,0,28,0,0,0,0
"ASV531",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,67
"ASV532",0,0,0,0,0,0,0,22,56,0,0,0,0,0,0,0,0,0
"ASV537",0,47,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV538",0,0,0,0,0,0,0,0,0,25,0,0,10,0,0,8,21,0
"ASV556",0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,18
"ASV558",0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
"ASV562",20,0,0,27,0,20,0,0,0,0,0,0,0,0,0,0,0,7
"ASV563",0,0,0,0,0,0,0,51,23,0,0,0,0,0,0,0,0,0
"ASV566",0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,8,0,0
"ASV569",8,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV570",0,0,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"ASV571",0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,14,12,0
"ASV572",0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,46,0,0
"ASV573",0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,19
"ASV575",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"ASV585",7,27,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV586",0,19,0,0,0,6,0,0,0,0,46,0,0,0,0,0,0,0
"ASV588",0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,46
"ASV589",0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
"ASV591",22,14,0,16,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"ASV593",0,0,0,0,0,42,0,28,0,0,0,0,0,0,0,0,0,0
"ASV594",0,0,0,0,0,0,0,11,0,0,59,0,0,0,0,0,0,0
"ASV600",0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,21
"ASV602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
"ASV605",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"ASV606",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"ASV607",0,0,0,0,0,6,0,0,0,0,62,0,0,0,0,0,0,0
